,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Year,Month,Trades*Price,Day_Perc_Change,Trend
183,FORTIS,EQ,2018-02-02,132.6,132.0,135.9,125.3,        126.00,126.45,129.75,11857160,1538514789.3,56295,2872204,24.22,2018,2,7118502.75,-0.0463800904977375,Slight or No change
184,FORTIS,EQ,2018-02-05,126.45,125.0,125.0,117.2,        118.45,118.45,120.44,17584182,2117816512.05,77134,7958449,45.26,2018,2,9136522.3,-0.06326611308817709,Slight or No change
185,FORTIS,EQ,2018-02-06,118.45,112.0,117.0,107.1,        114.25,114.2,111.3,15167517,1688152910.15,65435,4522765,29.82,2018,2,7472677.0,-0.03588011819333048,Slight or No change
186,FORTIS,EQ,2018-02-07,114.2,117.5,124.75,116.75,        123.65,123.75,120.69,13973446,1686447164.15,54771,3505280,25.09,2018,2,6777911.25,0.0836252189141855,Slight or No change
187,FORTIS,EQ,2018-02-08,123.75,123.6,128.3,121.0,        126.35,126.05,126.33,8170647,1032211774.6,33062,2369896,29.0,2018,2,4167465.1,0.018585858585858483,Slight or No change
188,FORTIS,EQ,2018-02-09,126.05,125.0,156.7,125.0,        148.60,148.6,143.45,86214453,12367217800.9,350283,13672682,15.86,2018,2,52052053.8,0.17889726299087672,Slight or No change
189,FORTIS,EQ,2018-02-12,148.6,148.55,152.7,137.8,        139.50,139.0,145.14,26330832,3821687546.35,124146,4272386,16.23,2018,2,17256294.0,-0.06460296096904439,Slight or No change
190,FORTIS,EQ,2018-02-14,139.0,145.0,145.65,140.1,        142.40,142.45,142.53,15177477,2163213162.95,69757,3059381,20.16,2018,2,9936884.649999999,0.024820143884892065,Slight or No change
191,FORTIS,EQ,2018-02-15,142.45,142.6,149.0,135.15,        147.00,143.4,140.58,13885802,1952102361.2,61474,3210870,23.12,2018,2,8815371.6,0.006669006669006716,Slight or No change
192,FORTIS,EQ,2018-02-16,143.4,145.0,151.0,116.15,        137.70,137.5,134.82,98426544,13270297740.0,351309,22563031,22.92,2018,2,48304987.5,-0.04114365411436549,Slight or No change
193,FORTIS,EQ,2018-02-19,137.5,133.2,148.0,131.5,        147.60,146.4,141.04,43929730,6195905940.05,208163,11783976,26.82,2018,2,30475063.200000003,0.06472727272727274,Slight or No change
194,FORTIS,EQ,2018-02-20,146.4,150.5,155.6,135.5,        153.00,153.6,145.94,98975207,14444624599.45,386594,21828129,22.05,2018,2,59380838.4,0.04918032786885229,Slight or No change
195,FORTIS,EQ,2018-02-21,153.6,151.5,159.0,148.2,        155.80,155.5,155.81,43017735,6702672487.95,188265,6995435,16.26,2018,2,29275207.5,0.01236979166666674,Slight or No change
196,FORTIS,EQ,2018-02-22,155.5,155.0,155.85,145.0,        146.15,146.3,149.69,30802682,4610987971.75,133879,8708220,28.27,2018,2,19586497.700000003,-0.05916398713826354,Slight or No change
197,FORTIS,EQ,2018-02-23,146.3,144.55,167.4,143.65,        159.55,159.95,155.95,71207389,11104541088.7,303275,16042892,22.53,2018,2,48508836.25,0.09330143540669833,Slight or No change
198,FORTIS,EQ,2018-02-26,159.95,160.05,163.15,154.1,        159.15,159.9,158.43,40895580,6478957180.25,162013,10065797,24.61,2018,2,25905878.7,-0.0003125976867770497,Slight or No change
199,FORTIS,EQ,2018-02-27,159.9,161.0,162.45,154.55,        155.00,155.6,158.75,19482774,3092802493.35,86803,3927594,20.16,2018,2,13506546.799999999,-0.026891807379612276,Slight or No change
200,FORTIS,EQ,2018-02-28,155.6,153.6,160.8,153.0,        159.00,159.8,157.39,21349954,3360232195.75,92195,7037620,32.96,2018,2,14732761.000000002,0.026992287917738,Slight or No change
